chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
Super_Scaffold_13161	35887	35985	augPB-12310.t1	0	0	5	0	0	ENSG00000227172.2	AC011290.1
Super_Scaffold_13161	36879	36946	augPB-12310.t1	0	0	5	0	0	ENSG00000227172.2	AC011290.1
Super_Scaffold_414	861813	861869	augPB-16189.t1	0	0	4	0	5	ENSG00000116691.11	MIIP
chr1	24172383	24172402	augPB-1681.t2	0	0	4	0	0	ENSG00000130772.14	MED18
chr1	31192617	31192734	augPB-1751.t1	0	0	3	0	0	ENSG00000146463.12	ZMYM4
chr1	87371022	87371112	augPB-2100.t2	0	0	11	0	0	ENSG00000174842.17	GLMN
chr1	111609347	111609559	augPB-2236.t1	0	0	4	0	0	ENSG00000134249.7	ADAM30
chr10	7798409	7798530	augPB-7817.t2	0	0	3	0	0	ENSG00000151657.12	KIN
chr10	85128577	85128886	augPB-8153.t1	0	0	3	0	0	ENSG00000138182.14	KIF20B
chr10	90354516	90354666	augPB-8191.t2	0	0	38	0	1	ENSG00000231829.4	AL157834.1
chr10	90354839	90355002	augPB-8191.t2	0	0	37	0	1	ENSG00000231829.4	AL157834.1
chr11	60352597	60352727	augPB-5828.t2	0	0	12	0	0	ENSG00000137513.10	NARS2
chr11	99921138	99921254	augPB-5965.t1	0	0	8	0	0	ENSG00000137656.12	BUD13
chr13	11278127	11278220	augPB-12400.t1	1	0	3	0	7	ENSG00000236094.2	LINC00545
chr13	80307556	80307595	augPB-12577.t3	1	0	3	0	0	ENSG00000125247.15	TMTC4
chr14	39191558	39191603	augPB-12892.t2	1	2	8	0	0	ENSG00000100578.17	KIAA0586
chr16	1792306	1792370	augPB-14903.t2	0	0	6	22	0	ENSG00000130182.8	ZSCAN10
chr16	20056124	20056198	augCGP-14654.t1	0	2	3	0	2262	ENSG00000257408.2	AC092375.1
chr16	53197817	53197904	augPB-15293.t1	0	0	4	0	0	ENSG00000181019.13	NQO1
chr16	74145951	74146127	augPB-15432.t3	0	0	5	4	0	ENSG00000223959.8	AFG3L1P
chr19	17951000	17951127	augPB-7235.t1	0	0	5	8	0	ENSG00000198153.8	ZNF849P
chr19	17951619	17951715	augPB-7235.t1	0	0	5	8	0	ENSG00000198153.8	ZNF849P
chr19	43980687	43980816	augPB-7583.t1	0	0	3	0	1	ENSG00000269001.2	AC092070.2
chr19	47864473	47864548	augPB-7653.t3	0	0	3	1	5	ENSG00000176293.19	ZNF135
chr22	21000631	21000683	augPB-12174.t3	0	1	3	0	0	ENSG00000100206.10	DMC1
chr2a	38706903	38706967	augPB-14350.t1	0	0	5	0	1	ENSG00000228999.4	AC096570.1
chr2a	47611024	47611116	augPB-14430.t2	0	0	3	0	0	ENSG00000158125.10	XDH
chr2b	58543655	58543723	augPB-4933.t3	0	0	3	0	0	ENSG00000115840.14	SLC25A12
chr3	42614216	42614315	augPB-13393.t2	1	0	8	0	0	ENSG00000093183.14	SEC22C
chr3	128990769	128990784	augPB-13827.t2	0	0	12	0	13	ENSG00000138246.17	DNAJC13
chr4	224618	224746	augPB-81.t1	0	0	6	0	0	ENSG00000198155.5	ZNF876P
chr4	7084740	7084821	augPB-148.t2	0	0	4	0	0	ENSG00000013288.9	MAN2B2
chr4	50294198	50294260	augPB-277.t1	0	0	3	0	0	ENSG00000248049.7	UBA6-AS1
chr4	86504354	86504415	augPB-415.t3	0	1	3	0	2	ENSG00000138640.15	FAM13A
chr6	15124020	15124100	augPB-6174.t1	0	0	15	1	0	ENSG00000234261.4	AL138720.1
chr6	80572457	80572580	augPB-6605.t1	1	0	6	0	0	ENSG00000005700.15	IBTK
chr7	59332088	59332212	augPB-974.t1	0	13	8	15	2	ENSG00000286456.1	AC016769.5
chr8	85520938	85521029	augPB-3737.t2	0	7	10	1	2	ENSG00000251136.9	AF117829.1
chr8	85521740	85521812	augPB-3737.t2	0	0	10	0	0	ENSG00000251136.9	AF117829.1
chr9	68602134	68602184	augPB-11156.t2	0	3	6	0	0	ENSG00000136925.15	TSTD2
