chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
Scaffold_69_301k	14173	14275	augPB-10265.t1	0	3	0	0	0	ENSG00000259882.2	AC142384.1
Scaffold_76_1m	34991	35093	augCGP-703.t1	0	3	0	0	0	ENSG00000258628.1	AC126603.1
chr1	9819641	9819707	augCGP-9416.t1	0	26	28	20	436	ENSG00000198793.13	MTOR
chr1	29751476	29751582	augPB-9036.t3	3	10	3	4	74	ENSG00000134644.15	PUM1
chr1	33899482	33899687	augPB-9087.t1	2	9	2	0	3	ENSG00000197056.11	ZMYM1
chr1	35085648	35085789	augPB-9102.t1	5	5	13	22	309	ENSG00000054118.15	THRAP3
chr1	50233548	50233749	augPB-9246.t1	2	5	0	0	356	ENSG00000085832.17	EPS15
chr1	51191650	51192005	augCGP-9900.t1	0	149	75	83	70	ENSG00000085840.13	ORC1
chr1	52858460	52858545	augPB-9274.t3	27	24	16	5	574	ENSG00000116209.12	TMEM59
chr1	57471131	57471186	augPB-9294.t1	2	4	0	0	2	ENSG00000162601.11	MYSM1
chr1	69381999	69382034	augPB-9337.t1	0	35	0	0	0	ENSG00000229051.2	LINC01788
chr1	69536821	69536921	augPB-9337.t1	0	38	0	0	0	ENSG00000229051.2	LINC01788
chr1	69540999	69541087	augPB-9337.t1	0	8	0	0	0	ENSG00000229051.2	LINC01788
chr1	83567890	83568061	augPB-9366.t1	11	4	3	2	187	ENSG00000117155.16	SSX2IP
chr1	89758001	89758124	augPB-9392.t1	4	8	6	4	80	ENSG00000122482.21	ZNF644
chr1	113813973	113814029	augPB-9522.t1	0	4	0	0	2	ENSG00000163349.22	HIPK1
chr1	116917552	116917701	augPB-9542.t1	5	8	4	11	44	ENSG00000116830.12	TTF2
chr1	125562599	125562759	augPB-9627.t3	7	3	5	10	28	ENSG00000143437.21	ARNT
chr1	130537459	130537501	augPB-9719.t3	1	3	2	0	11	ENSG00000203761.5	MSTO2P
chr1	131353707	131353844	augPB-9740.t1	5	12	1	2	27	ENSG00000183856.11	IQGAP3
chr1	180945481	180945628	augPB-10013.t2	16	14	22	20	26	ENSG00000069275.13	NUCKS1
chr1	193497384	193497659	augPB-10076.t1	3	6	24	16	68	ENSG00000067533.6	RRP15
chr1	195361629	195361723	augPB-10084.t1	42	88	16	0	230	ENSG00000118873.16	RAB3GAP2
chr1	195362086	195362304	augPB-10084.t1	41	86	16	0	223	ENSG00000118873.16	RAB3GAP2
chr1	200486634	200486702	augPB-10114.t7	2	3	6	2	0	ENSG00000154380.17	ENAH
chr1	209387680	209387777	augPB-10187.t1	1	5	2	1	15	ENSG00000059588.10	TARBP1
chr10	13308951	13309034	augPB-15213.t2	0	9	0	0	0	ENSG00000123240.17	OPTN
chr10	24675895	24676304	augPB-15254.t1	0	5	0	2	5	ENSG00000120549.18	KIAA1217
chr10	27132599	27132767	augPB-15265.t2	0	5	0	0	22	ENSG00000107890.16	ANKRD26
chr10	27137292	27138378	augPB-15265.t2	0	4	2	0	8	ENSG00000107890.16	ANKRD26
chr10	39403496	39403610	augPB-15300.t3	0	4	0	0	0	ENSG00000198915.11	RASGEF1A
chr10	56591261	56591348	augPB-15366.t1	1	8	0	0	0	ENSG00000170312.16	CDK1
