chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
chr1	236720	236897	augCGP-909.t1	0	0	0	0	13	ENSG00000229703.6	LYPD9P
chr1	728885	728935	augPB-7040.t3	0	0	0	0	3	ENSG00000286015.1	CR589904.2
chr1	1169659	1169760	augCGP-917.t1	0	0	0	0	3	ENSG00000162722.9	TRIM58
chr1	7406228	7406258	augPB-7089.t1	0	0	0	0	65	ENSG00000162843.17	WDR64
chr1	12241322	12241534	augPB-7106.t2	1	0	0	1	54	ENSG00000116984.13	MTR
chr1	13262500	13262654	augPB-7117.t2	0	0	0	0	1	ENSG00000143669.14	LYST
chr1	13266145	13266279	augPB-7117.t2	0	0	0	0	1	ENSG00000143669.14	LYST
chr1	14590932	14591029	augPB-7128.t1	1	5	2	1	15	ENSG00000059588.10	TARBP1
chr1	16440146	16440195	augPB-7142.t1	0	0	0	0	7	ENSG00000116991.10	SIPA1L2
chr1	19819487	19819605	augPB-7175.t1	0	0	0	0	3	ENSG00000236975.2	LINC02814
chr1	22956575	22956671	augPB-7188.t1	0	0	0	0	1	ENSG00000237463.6	LRRC52-AS1
chr1	24794249	24794291	augPB-7206.t1	0	0	0	0	4	ENSG00000198821.10	CD247
chr1	25927960	25928039	augPB-7218.t1	0	0	0	0	2	ENSG00000143184.5	XCL1
chr1	28291956	28292072	augPB-7238.t1	0	0	0	0	56	ENSG00000117501.14	MROH9
chr1	28448895	28448990	augPB-7238.t5	0	0	0	0	1	ENSG00000117507.6	FMO6P
chr1	28450574	28450724	augPB-7238.t5	0	0	0	0	1	ENSG00000117507.6	FMO6P
chr1	31164781	31164808	augCGP-1090.t1	0	0	0	0	293	ENSG00000234741.8	GAS5
chr1	33180779	33180858	augPB-7275.t1	0	0	0	0	5	ENSG00000227740.2	LINC02803
chr1	34039739	34039825	augPB-7277.t2	0	0	0	0	3	ENSG00000116183.11	PAPPA2
chr1	34773576	34773630	augPB-7280.t1	0	0	0	0	4	ENSG00000227579.6	AL136114.1
chr1	35745464	35745654	augPB-7288.t3	0	0	0	0	71	ENSG00000240021.10	TEX35
chr1	36343163	36343308	augPB-7292.t5	0	0	0	0	11	ENSG00000143322.21	ABL2
chr1	36829226	36829391	augPB-7298.t3	0	0	0	0	380	ENSG00000162782.16	TDRD5
chr1	38160121	38160253	augPB-7309.t2	0	0	0	0	5	ENSG00000232586.1	KIAA1614-AS1
chr1	38160823	38160920	augPB-7309.t2	0	0	0	0	5	ENSG00000232586.1	KIAA1614-AS1
chr1	38952680	38952814	augPB-7315.t3	0	0	0	0	1	ENSG00000198216.12	CACNA1E
chr1	39394958	39395045	augPB-7318.t1	0	0	0	0	1	ENSG00000228918.4	LINC01344
chr1	39447432	39447485	augPB-7318.t1	0	0	0	0	1	ENSG00000228918.4	LINC01344
chr1	41961847	41961892	augPB-7342.t1	0	0	0	0	19	ENSG00000116406.19	EDEM3
chr1	41970807	41970964	augPB-7342.t2	1	0	0	0	21	ENSG00000116406.19	EDEM3
chr1	42966668	42966875	augPB-7348.t1	0	0	0	0	1	ENSG00000143341.12	HMCN1
chr1	43620501	43620591	augPB-7351.t1	4	3	4	2	23	ENSG00000157181.16	ODR4
chr1	58349257	58349387	augPB-7394.t1	0	0	0	0	46	ENSG00000233217.2	MROH3P
chr1	58518990	58519090	augPB-7397.t1	0	0	0	0	1	ENSG00000081248.11	CACNA1S
chr1	60257265	60257362	augPB-7429.t1	0	0	0	0	8	ENSG00000184774.10	MGAT4EP
chr1	60509747	60509904	augPB-7437.t2	4	0	7	1	232	ENSG00000163444.12	TMEM183A
chr1	61625189	61625301	augPB-7454.t1	4	3	3	1	5	ENSG00000143842.15	SOX13
chr1	61737928	61738105	augPB-7459.t1	4	1	0	0	57	ENSG00000143850.16	PLEKHA6
chr1	61766011	61766497	augPB-7459.t1	0	0	0	0	61	ENSG00000143850.16	PLEKHA6
chr1	61868173	61868327	augPB-7460.t2	0	0	0	0	1	ENSG00000143850.16	PLEKHA6
chr1	62914193	62914259	augPB-7477.t1	0	0	0	0	168	ENSG00000186007.10	LEMD1
chr1	62915978	62916017	augPB-7477.t1	0	0	0	0	165	ENSG00000186007.10	LEMD1
chr1	62922750	62922834	augPB-7477.t2	0	0	0	0	208	ENSG00000186007.10	LEMD1
chr1	63242862	63243009	augPB-7485.t2	16	14	22	20	26	ENSG00000069275.13	NUCKS1
chr1	63986773	63986939	augPB-7495.t2	0	0	0	0	1	ENSG00000263528.8	IKBKE
chr1	64235907	64235981	augPB-7499.t3	1	0	0	1	2	ENSG00000162889.10	MAPKAPK2
chr1	64867118	64867183	augPB-7510.t1	0	0	0	0	37	ENSG00000196352.15	CD55
chr1	65041051	65041228	augCGP-1333.t1	0	0	0	0	3	ENSG00000117322.17	CR2
chr1	65041319	65041422	augCGP-1333.t1	0	0	0	0	3	ENSG00000117322.17	CR2
chr1	65131444	65131549	augCGP-1333.t1	0	0	0	0	1	ENSG00000117322.17	CR2
chr1	75798375	75798650	augCGP-1382.t1	3	6	24	16	68	ENSG00000067533.6	RRP15
chr1	77747626	77747720	augCGP-1389.t1	42	88	16	0	230	ENSG00000118873.16	RAB3GAP2
chr1	77748084	77748302	augCGP-1389.t1	41	86	16	0	223	ENSG00000118873.16	RAB3GAP2
chr1	82570184	82570375	augCGP-1414.t1	0	0	0	0	29	ENSG00000185842.15	DNAH14
chr1	82573408	82573654	augCGP-1414.t1	0	0	0	0	27	ENSG00000185842.15	DNAH14
chr1	82585093	82585215	augCGP-1414.t1	0	0	0	0	30	ENSG00000185842.15	DNAH14
chr1	83386398	83386520	augPB-7630.t1	0	0	0	0	10	ENSG00000196187.12	TMEM63A
chr1	85200136	85201564	augPB-7646.t2	1	0	0	1	20	ENSG00000181450.18	ZNF678
chr1	86059634	86059812	augPB-7671.t1	0	0	0	0	1	ENSG00000279306.1	AL139288.2
chr1	88987273	88987505	augPB-7680.t2	0	0	0	2	9	ENSG00000162745.10	OLFML2B
chr1	89787039	89787154	augPB-7699.t1	0	0	0	0	2	ENSG00000143258.16	USP21
chr1	89787379	89787451	augPB-7699.t1	0	0	0	0	5	ENSG00000143258.16	USP21
chr1	89788911	89789063	augPB-7699.t1	2	0	0	0	3	ENSG00000143258.16	USP21
chr1	89860943	89861025	augPB-7705.t1	0	0	0	0	1	ENSG00000228917.1	AL591806.1
chr1	89863005	89863038	augPB-7705.t1	0	0	0	0	1	ENSG00000228917.1	AL591806.1
