chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
1	144696567	144696681	augPB-8041.t1	0	0	0	5	2	ENSG00000233290.3	AL157944.1
10	77278861	77278982	augPB-6817.t1	0	0	0	3	0	ENSG00000072401.15	UBE2D1
10	100509546	100509621	augPB-6948.t1	5	35	2	13	0	ENSG00000166197.16	NOLC1
10	102626404	102626488	augPB-6984.t2	0	0	0	3	0	ENSG00000148834.13	GSTO1
11	17620319	17620535	augPB-10540.t1	1	0	0	3	1	ENSG00000109991.9	P2RX3
11	118444710	118444777	augPB-11064.t2	0	0	0	4	0	ENSG00000134910.14	STT3A
12	131778515	131778563	augPB-12309.t4	0	0	0	3	0	ENSG00000072609.17	CHFR
14	41283322	41283418	augPB-5559.t1	0	0	0	4	0	ENSG00000261120.1	AL133299.1
17	49365440	49365515	augPB-12833.t1	0	0	0	4	0	ENSG00000141698.17	NT5C3B
18	72822644	72822677	augPB-8948.t1	0	0	0	3	1	ENSG00000265844.1	AC100863.1
19	20121537	20121664	augPB-15208.t3	0	0	0	3	0	ENSG00000256771.4	ZNF253
19	20122165	20122258	augPB-15208.t3	0	0	0	3	0	ENSG00000256771.4	ZNF253
19	23036540	23036667	augPB-15228.t1	0	0	5	8	0	ENSG00000268589.1	AC011467.2
19	23037160	23037256	augPB-15228.t1	0	0	5	8	0	ENSG00000268589.1	AC011467.2
19	56579629	56579750	augPB-15764.t2	0	4	0	5	1	ENSG00000121417.14	ZNF211
22	8742358	8742441	augPB-11225.t2	0	0	0	5	1	ENSG00000272733.1	AP000345.2
22	10492067	10492184	augPB-11232.t1	0	0	0	4	0	ENSG00000100099.20	HPS4
3	97413478	97413627	augPB-3490.t1	0	0	0	9	0	ENSG00000178917.16	ZNF852
4	128615452	128615494	augPB-10081.t2	0	1	0	6	1	ENSG00000249618.6	LINC02465
5	48412763	48412879	augPB-431.t1	0	0	0	3	0	ENSG00000151883.18	PARP8
6	2918946	2919009	augPB-1544.t3	0	0	0	3	0	ENSG00000137275.14	RIPK1
6	14848492	14848539	augPB-1595.t1	0	0	0	12	0	ENSG00000234261.4	AL138720.1
6	35218474	35218501	augPB-1817.t1	0	0	0	6	0	ENSG00000064995.18	TAF11
6	102958469	102958578	augPB-2079.t3	0	3	8	6	2	ENSG00000187772.8	LIN28B
7	3882749	3882837	augPB-4050.t1	0	0	0	3	0	ENSG00000224729.6	PCOLCE-AS1
7	7187947	7188013	augCGP-6401.t1	0	0	0	3	0	ENSG00000106610.15	STAG3L4
7	68553723	68553768	augPB-4341.t1	0	0	0	18	0	ENSG00000004864.13	SLC25A13
Scaffold_45_3m	660838	660974	augPB-3929.t1	0	0	0	6	0	ENSG00000226278.1	PSPHP1
X	95878484	95878560	augPB-2727.t2	0	0	0	3	0	ENSG00000196440.11	ARMCX4
X	102503532	102503703	augPB-2779.t1	0	0	0	3	15	ENSG00000277883.1	NLRP3P1
