chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
000899F_198412_qpd_obj	155888	156017	augPB-14144.t1	0	0	5	0	0	ENSG00000214967.5	NPIPA7
002797F_40203_qpd_obj	23267	23393	augPB-59.t1	5	9	3	1	128	ENSG00000169925.17	BRD3
Super_Scaffold_13161	35887	35985	augPB-12310.t1	0	0	5	0	0	ENSG00000227172.2	AC011290.1
Super_Scaffold_13161	36879	36946	augPB-12310.t1	0	0	5	0	0	ENSG00000227172.2	AC011290.1
Super_Scaffold_414	861813	861869	augPB-16189.t1	0	0	4	0	5	ENSG00000116691.11	MIIP
Super_Scaffold_414	870504	870762	augPB-16189.t1	0	0	23	0	0	ENSG00000116691.11	MIIP
Super_Scaffold_469	201588	201649	augPB-3084.t2	0	0	3	0	1	ENSG00000111653.20	ING4
Super_Scaffold_483	103898	103965	augPB-15468.t1	7	5	8	21	159	ENSG00000198176.13	TFDP1
Super_Scaffold_702	448006	448107	augPB-14803.t1	0	0	3	0	0	ENSG00000205517.12	RGL3
chr1	4535536	4535721	augPB-1471.t1	1	1	3	0	68	ENSG00000171735.19	CAMTA1
chr1	7917406	7917472	augPB-1501.t1	0	26	28	20	436	ENSG00000198793.13	MTOR
chr1	22130969	22131054	augPB-1644.t2	0	0	8	0	0	ENSG00000158062.20	UBXN11
chr1	24172383	24172402	augPB-1681.t2	0	0	4	0	0	ENSG00000130772.14	MED18
chr1	31192617	31192734	augPB-1751.t1	0	0	3	0	0	ENSG00000146463.12	ZMYM4
chr1	32107834	32107975	augPB-1765.t1	5	5	13	22	309	ENSG00000054118.15	THRAP3
chr1	35646201	35646373	augPB-1807.t2	1	0	3	0	0	ENSG00000043514.17	TRIT1
chr1	39771978	39772091	augPB-1858.t1	0	0	4	0	1	ENSG00000117408.11	IPO13
chr1	39796903	39796971	augPB-1862.t1	1	0	3	2	16	ENSG00000159214.13	CCDC24
chr1	47365702	47366057	augCGP-580.t1	0	149	75	83	70	ENSG00000085840.13	ORC1
chr1	49022254	49022339	augPB-1947.t3	27	24	16	5	574	ENSG00000116209.12	TMEM59
chr1	69688057	69688204	augPB-2029.t2	0	0	11	0	0	ENSG00000162623.16	TYW3
chr1	79726469	79726640	augPB-2060.t3	11	4	3	2	187	ENSG00000117155.16	SSX2IP
chr1	85085390	85085532	augPB-2089.t1	0	3	11	1	10	ENSG00000162664.17	ZNF326
chr1	87371022	87371112	augPB-2100.t2	0	0	11	0	0	ENSG00000174842.17	GLMN
chr1	106026146	106026308	augPB-2189.t4	4	2	29	1	13	ENSG00000156171.14	DRAM2
chr1	108016509	108016587	augPB-2215.t2	0	0	3	0	0	ENSG00000198799.12	LRIG2
chr1	111609347	111609559	augPB-2236.t1	0	0	4	0	0	ENSG00000134249.7	ADAM30
chr1	115901118	115901188	augPB-2264.t2	0	0	5	0	0	ENSG00000178104.19	PDE4DIP
chr1	121417656	121417816	augPB-2331.t1	7	3	5	10	28	ENSG00000143437.21	ARNT
chr1	131612556	131612667	augPB-2495.t3	0	0	3	0	0	ENSG00000158764.7	ITLN2
chr1	153313076	153313138	augPB-2626.t2	3	1	7	0	5	ENSG00000143333.7	RGS16
chr1	157121234	157121324	augPB-2649.t1	4	3	4	2	23	ENSG00000157181.16	ODR4
chr1	173340472	173340601	augPB-2702.t1	0	2	8	4	3	ENSG00000143858.12	SYT2
chr1	175254981	175255116	augPB-2724.t2	1	0	3	0	0	ENSG00000198625.13	MDM4
chr1	176437080	176437227	augPB-2736.t3	16	14	22	20	26	ENSG00000069275.13	NUCKS1
chr1	196909974	196910249	augCGP-1516.t1	3	6	24	16	68	ENSG00000067533.6	RRP15
chr1	198850402	198850496	augPB-2845.t1	42	88	16	0	230	ENSG00000118873.16	RAB3GAP2
chr1	198850859	198851077	augPB-2845.t1	41	86	16	0	223	ENSG00000118873.16	RAB3GAP2
chr1	203700308	203700376	augPB-2874.t3	2	3	6	2	0	ENSG00000154380.17	ENAH
chr10	7798409	7798530	augPB-7817.t2	0	0	3	0	0	ENSG00000151657.12	KIN
chr10	18585825	18585923	augPB-7861.t1	0	0	6	0	0	ENSG00000241058.4	NSUN6
chr10	38012635	38012722	augCGP-13503.t1	25	24	9	3	6	ENSG00000138336.9	TET1
chr10	85128577	85128886	augPB-8153.t1	0	0	3	0	0	ENSG00000138182.14	KIF20B
chr10	90354516	90354666	augPB-8191.t2	0	0	38	0	1	ENSG00000231829.4	AL157834.1
chr10	90354839	90355002	augPB-8191.t2	0	0	37	0	1	ENSG00000231829.4	AL157834.1
chr10	90961131	90961211	augPB-8195.t2	6	0	6	1	4	ENSG00000119977.21	TCTN3
chr10	96180168	96181163	augPB-8246.t1	6	0	7	1	41	ENSG00000119906.13	SLF2
chr10	111935558	111935639	augPB-8341.t1	0	0	3	0	3	ENSG00000165863.17	C10orf82
chr11	33492592	33492623	augPB-5462.t1	0	0	3	0	3	ENSG00000151348.14	EXT2
chr11	35343867	35344116	augPB-5475.t1	1	3	9	0	86	ENSG00000135365.15	PHF21A
chr11	45811790	45811916	augCGP-9599.t1	0	796	318	163	1675	ENSG00000134824.14	FADS2
chr11	46898555	46898648	augCGP-9626.t1	0	0	118	139	326	ENSG00000168003.16	SLC3A2
chr11	48214540	48214654	augPB-5611.t2	2	0	4	0	8	ENSG00000149743.14	TRPT1
chr11	59507158	59508924	augPB-5818.t1	4	11	9	0	2	ENSG00000048649.13	RSF1
chr11	60352597	60352727	augPB-5828.t2	0	0	12	0	0	ENSG00000137513.10	NARS2
chr11	72751698	72751851	augPB-5858.t1	0	0	4	0	0	ENSG00000165923.16	AGBL2
chr11	76818604	76818744	augCGP-9923.t1	0	0	17	1	88	ENSG00000166004.15	CEP295
chr11	78907342	78907463	augPB-5894.t1	12	4	10	7	80	ENSG00000166037.11	CEP57
chr11	99921138	99921254	augPB-5965.t1	0	0	8	0	0	ENSG00000137656.12	BUD13
chr11	100558748	100558872	augPB-5975.t1	1	4	3	2	48	ENSG00000110274.16	CEP164
chr11	100559270	100559296	augPB-5975.t1	0	0	3	0	5	ENSG00000110274.16	CEP164
chr12	3071038	3071121	augPB-10099.t1	0	0	4	0	0	ENSG00000011105.14	TSPAN9
chr12	9631536	9631679	augPB-10156.t1	0	0	13	4	10	ENSG00000256667.6	KLRA1P
chr12	27466753	27466777	augPB-10235.t1	0	26	35	0	411	ENSG00000166986.15	MARS1
chr12	28382750	28382977	augPB-10256.t7	5	42	16	6	225	ENSG00000076108.11	BAZ2A
chr12	62197691	62198048	augPB-10500.t1	0	0	5	0	0	ENSG00000127311.9	HELB
chr12	65169758	65169951	augPB-10513.t2	20	4	23	18	104	ENSG00000111605.18	CPSF6
chr12	109153557	109153758	augPB-10710.t1	0	0	8	0	0	ENSG00000123064.12	DDX54
chr12	119241207	119241514	augPB-10796.t2	2	0	8	0	3	ENSG00000139697.14	SBNO1
chr12	127910239	127910327	augPB-10829.t2	0	0	3	0	24	ENSG00000183495.14	EP400
chr12	128626673	128626804	augPB-10841.t1	2	2	11	1	4	ENSG00000247077.7	PGAM5
chr12	128671685	128671818	augPB-10843.t1	0	0	3	0	0	ENSG00000177084.18	POLE
chr13	11278127	11278220	augPB-12400.t1	1	0	3	0	7	ENSG00000236094.2	LINC00545
chr13	21430078	21430140	augPB-12438.t2	0	0	6	0	0	ENSG00000120688.9	WBP4
chr13	32398080	32398314	augPB-12495.t1	0	0	4	0	0	ENSG00000123191.15	ATP7B
chr13	33052199	33052378	augPB-12505.t1	9	9	4	2	0	ENSG00000136110.13	CNMD
chr13	56793809	56793965	augPB-12536.t1	5	1	3	2	96	ENSG00000005810.18	MYCBP2
chr13	59064544	59064715	augPB-12541.t1	0	2	3	1	43	ENSG00000139746.15	RBM26
chr13	80307556	80307595	augPB-12577.t3	1	0	3	0	0	ENSG00000125247.15	TMTC4
chr14	20798004	20798136	augPB-12735.t1	1	0	15	0	0	ENSG00000100445.17	SDR39U1
chr14	23753250	23753478	augPB-12795.t2	0	0	11	0	0	ENSG00000092203.15	TOX4
chr14	39191558	39191603	augPB-12892.t2	1	2	8	0	0	ENSG00000100578.17	KIAA0586
chr14	39217058	39217191	augPB-12892.t2	13	43	31	3	518	ENSG00000100578.17	KIAA0586
chr14	48485136	48485313	augPB-12950.t2	0	10	3	1	25	ENSG00000072121.16	ZFYVE26
chr14	53972821	53973106	augPB-12979.t2	3	6	7	3	69	ENSG00000133961.20	NUMB
chr14	72780421	72780480	augPB-13073.t2	1	1	5	0	10	ENSG00000100815.12	TRIP11
chr14	84890763	84890914	augCGP-7454.t1	0	0	3	0	0	ENSG00000066735.14	KIF26A
chr15	1612654	1612785	augPB-9561.t8	1	521	154	85	147	ENSG00000224078.15	SNHG14
chr15	1616516	1616545	augPB-9561.t10	0	0	37	0	0	ENSG00000224078.15	SNHG14
chr15	26264154	26264248	augPB-9722.t1	0	0	3	0	0	ENSG00000259240.1	MIR4713HG
chr15	26901318	26901454	augPB-9729.t1	0	0	59	1	10	ENSG00000259556.2	AC090971.4
chr15	26903010	26903145	augPB-9729.t1	0	0	66	1	7	ENSG00000259556.2	AC090971.4
chr15	26904040	26904135	augPB-9729.t1	0	0	67	1	10	ENSG00000259556.2	AC090971.4
chr15	26905465	26905550	augPB-9729.t1	0	0	56	1	11	ENSG00000259556.2	AC090971.4
chr15	26906587	26906733	augPB-9729.t1	0	0	3	1	11	ENSG00000259556.2	AC090971.4
chr15	49314223	49314339	augPB-9873.t2	0	0	5	0	0	ENSG00000140481.15	CCDC33
chr15	50648182	50648317	augPB-9902.t2	0	0	6	0	2	ENSG00000140400.17	MAN2C1
chr16	1792306	1792370	augPB-14903.t2	0	0	6	22	0	ENSG00000130182.8	ZSCAN10
chr16	14268116	14268191	augPB-14988.t2	0	0	14	0	0	ENSG00000103429.11	BFAR
chr16	19152740	19152864	augPB-15035.t1	0	0	3	0	13	ENSG00000158486.13	DNAH3
chr16	20056124	20056198	augCGP-14654.t1	0	2	3	0	2262	ENSG00000257408.2	AC092375.1
chr16	25789268	25789388	augPB-15087.t1	0	0	3	0	0	ENSG00000047578.13	KIAA0556
chr16	53197817	53197904	augPB-15293.t1	0	0	4	0	0	ENSG00000181019.13	NQO1
chr16	71749080	71749156	augPB-15409.t1	0	0	3	0	0	ENSG00000269935.1	AC092720.2
chr16	74140400	74140488	augPB-15432.t1	1	1	12	7	10	ENSG00000223959.8	AFG3L1P
chr16	74145951	74146127	augPB-15432.t3	0	0	5	4	0	ENSG00000223959.8	AFG3L1P
chr17	6937780	6937839	augPB-11598.t2	0	0	7	0	0	ENSG00000072818.12	ACAP1
chr17	15101450	15101535	augPB-11663.t2	0	17	14	0	59	ENSG00000239704.11	CDRT4
