chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
1	31184911	31185186	augPB-7312.t1	3	6	24	16	68	ENSG00000067533.6	RRP15
1	31878159	31878272	augPB-7313.t2	1	1	2	3	0	ENSG00000092978.11	GPATCH2
1	39323232	39323325	augPB-7342.t1	0	0	0	3	0	ENSG00000203706.8	SERTAD4-AS1
1	43849184	43849331	augPB-7372.t2	16	14	22	20	26	ENSG00000069275.13	NUCKS1
1	47057919	47058048	augPB-7410.t1	0	2	8	4	3	ENSG00000143858.12	SYT2
1	95018135	95018320	augPB-7675.t1	41	32	17	12	491	ENSG00000203761.5	MSTO2P
1	99996956	99997116	augPB-7776.t1	7	3	5	10	28	ENSG00000143437.21	ARNT
1	100314157	100314255	augPB-7783.t3	0	0	1	6	11	ENSG00000143374.17	TARS2
1	107535137	107535224	augPB-7850.t1	1	2	0	4	1	ENSG00000116874.11	WARS2
1	109542553	109542702	augPB-7858.t2	5	8	4	11	44	ENSG00000116830.12	TTF2
1	132665710	132665812	augPB-7986.t3	0	0	0	16	0	ENSG00000117528.14	ABCD3
1	136206151	136206274	augPB-8008.t1	4	8	6	4	80	ENSG00000122482.21	ZNF644
1	144696567	144696681	augPB-8041.t1	0	0	0	5	2	ENSG00000233290.3	AL157944.1
1	173584267	173584352	augPB-8135.t2	27	24	16	5	574	ENSG00000116209.12	TMEM59
1	175251486	175251841	augCGP-8095.t1	0	149	75	83	70	ENSG00000085840.13	ORC1
1	187481534	187481633	augPB-8272.t1	2	0	0	3	0	ENSG00000187801.15	ZFP69B
1	191667570	191667711	augPB-8322.t2	5	5	13	22	309	ENSG00000054118.15	THRAP3
1	197030416	197030522	augPB-8389.t1	3	10	3	4	74	ENSG00000134644.15	PUM1
1	217551594	217551660	augCGP-8579.t1	0	26	28	20	436	ENSG00000198793.13	MTOR
10	6015147	6015316	augCGP-11833.t1	0	0	0	15	0	ENSG00000134452.19	FBH1
10	66223642	66223749	augPB-6775.t2	0	0	0	108	980	ENSG00000122958.15	VPS26A
10	66935957	66936044	augCGP-12115.t1	25	24	9	3	6	ENSG00000138336.9	TET1
10	77278861	77278982	augPB-6817.t1	0	0	0	3	0	ENSG00000072401.15	UBE2D1
10	89654134	89654302	augPB-6849.t1	0	0	0	3	2	ENSG00000165338.16	HECTD2
10	90153541	90153694	augPB-6853.t3	5	10	4	3	17	ENSG00000095564.14	BTAF1
10	100509546	100509621	augPB-6948.t1	5	35	2	13	0	ENSG00000166197.16	NOLC1
10	100736444	100736638	augCGP-12298.t1	10	42	0	5	351	ENSG00000107862.5	GBF1
10	102626404	102626488	augPB-6984.t2	0	0	0	3	0	ENSG00000148834.13	GSTO1
10	124332717	124332796	augPB-7076.t3	0	0	0	7	186	ENSG00000107949.17	BCCIP
10	131882742	131882919	augPB-7104.t3	0	0	0	48	0	ENSG00000130640.13	TUBGCP2
11	11502139	11502232	augCGP-2771.t1	0	0	118	139	326	ENSG00000168003.16	SLC3A2
11	17620319	17620535	augPB-10540.t1	1	0	0	3	1	ENSG00000109991.9	P2RX3
11	18894983	18895106	augPB-10546.t2	8	37	3	3	0	ENSG00000030066.13	NUP160
11	30689692	30689824	augPB-10608.t1	0	0	1	3	17	ENSG00000179241.13	LDLRAD3
11	87450507	87450699	augPB-10902.t3	0	0	0	5	2	ENSG00000166025.18	AMOTL1
11	118444142	118444238	augPB-11064.t2	0	0	0	7	0	ENSG00000134910.14	STT3A
11	118444710	118444777	augPB-11064.t2	0	0	0	4	0	ENSG00000134910.14	STT3A
11	127219761	127220052	augPB-11100.t1	0	0	0	7	11	ENSG00000166105.16	GLB1L3
12	910657	910791	augPB-11513.t1	0	0	3	4	0	ENSG00000002016.18	RAD52
12	46238363	46238526	augPB-11756.t1	26	1	3	23	486	ENSG00000139620.12	KANSL2
12	46241039	46241207	augPB-11756.t1	25	0	0	22	481	ENSG00000139620.12	KANSL2
12	46671232	46671274	augPB-11769.t3	0	0	0	3	0	ENSG00000139636.15	LMBR1L
12	54376983	54377210	augPB-11900.t1	5	42	16	6	225	ENSG00000076108.11	BAZ2A
12	110824532	110824636	augCGP-10410.t1	1	2	1	4	46	ENSG00000173064.13	HECTD4
12	131778515	131778563	augPB-12309.t4	0	0	0	3	0	ENSG00000072609.17	CHFR
13	97871909	97871976	augPB-295.t2	7	5	8	21	159	ENSG00000198176.13	TFDP1
13	98192528	98192677	augPB-299.t1	0	4	0	9	107	ENSG00000185989.11	RASA3
13	98193184	98193341	augPB-299.t1	0	4	0	7	105	ENSG00000185989.11	RASA3
13	98196268	98196373	augPB-299.t1	0	3	0	7	99	ENSG00000185989.11	RASA3
14	70541	70571	augPB-5333.t4	0	0	1	3	0	ENSG00000142794.18	NBPF3
14	39809078	39809211	augPB-5551.t2	13	43	31	3	518	ENSG00000100578.17	KIAA0586
14	41283322	41283418	augPB-5559.t1	0	0	0	4	0	ENSG00000261120.1	AL133299.1
15	20637368	20637467	augCGP-10678.t1	0	0	0	53	0	ENSG00000137824.16	RMDN3
15	52485952	52486058	augPB-9441.t1	0	0	0	21	0	ENSG00000175318.12	GRAMD2A
15	54910224	54910301	augPB-9466.t2	0	0	0	4	0	ENSG00000179361.17	ARID3B
16	815447	815570	augPB-4706.t2	0	0	0	4	0	ENSG00000130731.16	METTL26
16	975580	975730	augPB-4722.t4	0	2	10	9	78	ENSG00000127586.17	CHTF18
16	1980928	1981083	augPB-4748.t1	0	0	0	23	0	ENSG00000095906.17	NUBP2
16	3293413	3293443	augPB-4801.t1	0	0	0	3	0	ENSG00000262152.7	LINC00514
16	3293521	3293554	augPB-4801.t1	0	0	0	3	0	ENSG00000262152.7	LINC00514
16	3399813	3399877	augPB-4809.t3	0	0	6	22	0	ENSG00000130182.8	ZSCAN10
16	12343179	12343233	augPB-4882.t1	0	0	0	22	0	ENSG00000157045.9	NTAN1
16	67005326	67005599	augPB-5304.t1	0	0	0	8	0	ENSG00000167515.10	TRAPPC2L
16	68109417	68109505	augPB-5326.t1	1	1	12	7	10	ENSG00000223959.8	AFG3L1P
17	862455	862577	augPB-12338.t1	0	0	0	7	726	ENSG00000159842.15	ABR
