chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
chr1	16440146	16440195	augPB-7142.t1	0	0	0	0	7	ENSG00000116991.10	SIPA1L2
chr1	19819487	19819605	augPB-7175.t1	0	0	0	0	3	ENSG00000236975.2	LINC02814
chr1	22956575	22956671	augPB-7188.t1	0	0	0	0	1	ENSG00000237463.6	LRRC52-AS1
chr1	28448895	28448990	augPB-7238.t5	0	0	0	0	1	ENSG00000117507.6	FMO6P
chr1	34039739	34039825	augPB-7277.t2	0	0	0	0	3	ENSG00000116183.11	PAPPA2
chr1	34773576	34773630	augPB-7280.t1	0	0	0	0	4	ENSG00000227579.6	AL136114.1
chr1	36829226	36829391	augPB-7298.t3	0	0	0	0	380	ENSG00000162782.16	TDRD5
chr1	38160121	38160253	augPB-7309.t2	0	0	0	0	5	ENSG00000232586.1	KIAA1614-AS1
chr1	38160823	38160920	augPB-7309.t2	0	0	0	0	5	ENSG00000232586.1	KIAA1614-AS1
chr1	39447432	39447485	augPB-7318.t1	0	0	0	0	1	ENSG00000228918.4	LINC01344
chr1	58518990	58519090	augPB-7397.t1	0	0	0	0	1	ENSG00000081248.11	CACNA1S
chr1	61868173	61868327	augPB-7460.t2	0	0	0	0	1	ENSG00000143850.16	PLEKHA6
chr1	62914193	62914259	augPB-7477.t1	0	0	0	0	168	ENSG00000186007.10	LEMD1
chr1	62915978	62916017	augPB-7477.t1	0	0	0	0	165	ENSG00000186007.10	LEMD1
chr1	62922750	62922834	augPB-7477.t2	0	0	0	0	208	ENSG00000186007.10	LEMD1
chr1	64867118	64867183	augPB-7510.t1	0	0	0	0	37	ENSG00000196352.15	CD55
chr1	65041051	65041228	augCGP-1333.t1	0	0	0	0	3	ENSG00000117322.17	CR2
chr1	65041319	65041422	augCGP-1333.t1	0	0	0	0	3	ENSG00000117322.17	CR2
chr1	82570184	82570375	augCGP-1414.t1	0	0	0	0	29	ENSG00000185842.15	DNAH14
chr1	82573408	82573654	augCGP-1414.t1	0	0	0	0	27	ENSG00000185842.15	DNAH14
chr1	82585093	82585215	augCGP-1414.t1	0	0	0	0	30	ENSG00000185842.15	DNAH14
chr1	86059634	86059812	augPB-7671.t1	0	0	0	0	1	ENSG00000279306.1	AL139288.2
chr1	94033312	94033354	augPB-7762.t5	1	0	0	0	68	ENSG00000160838.14	LRRC71
chr1	94114385	94114436	augPB-7764.t2	0	0	0	0	2	ENSG00000198400.11	NTRK1
chr1	97658864	97659094	augPB-7880.t1	0	0	0	0	7	ENSG00000224784.2	S100A15A
chr1	99984362	99984423	augPB-7924.t1	0	0	0	0	2	ENSG00000143458.12	GABPB2
chr1	110250072	110250199	augPB-8073.t11	0	0	0	0	53	ENSG00000163349.22	HIPK1
chr1	111094825	111094879	augPB-8081.t1	0	0	0	0	5	ENSG00000198799.12	LRIG2
chr1	116555600	116555693	augPB-8180.t3	0	0	0	0	5	ENSG00000134215.16	VAV3
chr1	122650248	122650463	augPB-8192.t1	0	0	0	0	1	ENSG00000231671.1	LINC01307
chr1	122739034	122739130	augPB-8192.t1	0	0	0	0	1	ENSG00000231671.1	LINC01307
chr1	122749218	122749316	augPB-8192.t1	0	0	0	0	1	ENSG00000231671.1	LINC01307
chr1	126610544	126610582	augPB-8218.t1	0	0	0	0	1	ENSG00000188641.14	DPYD
chr1	132859086	132859193	augCGP-2033.t1	0	0	0	0	203	ENSG00000162669.16	HFM1
chr1	132859288	132859336	augCGP-2033.t1	0	0	0	0	203	ENSG00000162669.16	HFM1
chr1	132863175	132863273	augCGP-2033.t1	0	0	0	0	204	ENSG00000162669.16	HFM1
chr1	132863355	132863487	augCGP-2033.t1	0	0	0	0	202	ENSG00000162669.16	HFM1
chr1	132866093	132866179	augCGP-2033.t1	0	0	0	0	199	ENSG00000162669.16	HFM1
chr1	132866398	132866482	augCGP-2033.t1	0	0	0	0	196	ENSG00000162669.16	HFM1
chr1	132866610	132866768	augCGP-2033.t1	0	0	0	0	199	ENSG00000162669.16	HFM1
chr1	132868564	132868668	augCGP-2033.t1	0	0	0	0	202	ENSG00000162669.16	HFM1
chr1	132869130	132869277	augCGP-2033.t1	0	0	0	0	206	ENSG00000162669.16	HFM1
chr1	135096065	135096346	augPB-8275.t1	0	0	0	0	1	ENSG00000183347.14	GBP6
chr1	135204556	135204837	augPB-8276.t1	0	0	0	0	1	ENSG00000213512.3	GBP7
chr1	148338497	148338596	augPB-8338.t1	0	0	0	0	4	ENSG00000230027.2	AC092813.2
chr1	157068402	157068519	augPB-8376.t1	0	0	0	0	1	ENSG00000081985.11	IL12RB2
chr1	159226922	159227033	augPB-8389.t2	0	0	0	0	72	ENSG00000162433.15	AK4
chr1	159880704	159880733	augPB-8393.t4	0	0	0	0	6	ENSG00000158966.16	CACHD1
chr1	160928430	160928544	augPB-8400.t1	0	0	0	0	141	ENSG00000203965.13	EFCAB7
chr1	161050428	161050468	augPB-8402.t1	0	0	0	0	1	ENSG00000088035.18	ALG6
chr1	167669057	167669195	augPB-8436.t1	0	0	0	0	1	ENSG00000187889.13	FYB2
chr1	171506125	171506245	augPB-8480.t2	0	0	0	0	14	ENSG00000121310.17	ECHDC2
chr1	171506130	171506245	augPB-8480.t3	0	0	0	0	1	ENSG00000121310.17	ECHDC2
chr1	176963421	176963537	augPB-8518.t1	0	0	0	0	2	ENSG00000186564.5	FOXD2
chr1	177962824	177962891	augPB-8534.t2	0	0	0	0	1	ENSG00000232022.7	FAAHP1
chr1	180037390	180037429	augPB-8575.t1	0	0	0	0	73	ENSG00000187147.18	RNF220
chr1	180926136	180926189	augPB-8588.t7	0	0	0	0	2	ENSG00000142949.17	PTPRF
chr1	184087402	184087555	augPB-8634.t4	0	0	0	0	3	ENSG00000187815.10	ZFP69
chr1	184891644	184891766	augPB-8652.t1	0	0	0	0	190	ENSG00000116983.13	HPCAL4
chr1	198415444	198415528	augPB-8847.t2	0	0	0	0	61	ENSG00000176083.17	ZNF683
chr1	201088603	201088693	augPB-8907.t2	0	0	0	0	6	ENSG00000229239.2	AL451000.1
chr1	201807485	201807558	augPB-8919.t1	0	0	0	0	2	ENSG00000215906.8	LACTBL1
chr1	202302809	202302906	augPB-8927.t2	0	0	0	0	25	ENSG00000184677.18	ZBTB40
chr1	203620024	203620161	augPB-8940.t1	0	0	0	0	23	ENSG00000075151.20	EIF4G3
chr1	205053765	205053802	augPB-8959.t2	0	0	0	0	9	ENSG00000158748.4	HTR6
chr1	205399422	205399494	augPB-8963.t1	0	0	0	0	23	ENSG00000040487.13	SLC66A1
chr1	210705713	210705791	augPB-9031.t2	0	0	0	0	8	ENSG00000231606.2	AL357873.1
chr1	223590870	223590963	augPB-9233.t1	0	0	0	0	142	ENSG00000227124.11	ZNF717
chr10	745661	745757	augPB-3702.t1	0	0	0	0	2	ENSG00000225929.1	AC000036.1
chr10	750956	751076	augPB-3702.t1	0	0	0	0	4	ENSG00000225929.1	AC000036.1
chr10	754079	754246	augPB-3702.t1	0	0	0	0	2	ENSG00000225929.1	AC000036.1
chr10	2055161	2055307	augPB-3742.t1	0	0	0	0	3	ENSG00000188511.12	C22orf34
chr10	4923965	4924076	augPB-3756.t1	0	0	0	0	1	ENSG00000075275.16	CELSR1
chr10	5433620	5433752	augPB-3763.t1	0	0	0	0	1	ENSG00000197182.14	MIRLET7BHG
chr10	7281691	7281757	augPB-3781.t2	0	0	0	0	1	ENSG00000138964.17	PARVG
chr10	7751153	7751219	augPB-3788.t1	0	0	0	0	48	ENSG00000186976.15	EFCAB6
chr10	12322418	12322473	augPB-3869.t1	0	0	0	0	5	ENSG00000284633.1	AL031590.1
chr10	12494610	12494725	augCGP-20649.t1	0	0	0	0	8	ENSG00000128394.17	APOBEC3F
chr10	12494968	12495263	augCGP-20649.t1	0	0	0	0	3	ENSG00000128394.17	APOBEC3F
chr10	13500675	13500781	augPB-3898.t1	0	0	0	0	11	ENSG00000100142.15	POLR2F
