chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
chr1	69381999	69382034	augPB-9337.t1	0	35	0	0	0	ENSG00000229051.2	LINC01788
chr1	69540999	69541087	augPB-9337.t1	0	8	0	0	0	ENSG00000229051.2	LINC01788
chr10	27137292	27138378	augPB-15265.t2	0	4	2	0	8	ENSG00000107890.16	ANKRD26
chr10	39403496	39403610	augPB-15300.t3	0	4	0	0	0	ENSG00000198915.11	RASGEF1A
chr10	56591261	56591348	augPB-15366.t1	1	8	0	0	0	ENSG00000170312.16	CDK1
chr10	98002414	98002489	augPB-15624.t1	5	35	2	13	0	ENSG00000166197.16	NOLC1
chr14	21344782	21344867	augPB-4631.t1	0	4	0	0	0	ENSG00000286123.1	AL049828.2
chr15	21900835	21900886	augPB-12612.t1	0	20	0	0	0	ENSG00000067369.13	TP53BP1
chr15	54288219	54288321	augPB-12834.t1	0	6	1	0	2	ENSG00000167196.14	FBXO22
chr16	37278	37381	augPB-2203.t1	0	3	0	0	0	ENSG00000103148.16	NPRL3
chr16	15206197	15206233	augPB-2395.t1	0	5	0	0	0	ENSG00000179889.19	PDXDC1
chr16	15206342	15206403	augPB-2395.t1	0	5	0	0	0	ENSG00000179889.19	PDXDC1
chr16	15210488	15210633	augPB-2395.t1	0	5	0	0	0	ENSG00000179889.19	PDXDC1
chr16	59531827	59532097	augPB-2702.t4	0	7	0	0	0	ENSG00000261556.10	SMG1P7
chr17	68781837	68781930	augPB-793.t1	0	4	0	0	0	ENSG00000161526.15	SAP30BP
chr20	63422216	63422281	augPB-6445.t2	0	3	0	0	0	ENSG00000101246.20	ARFRP1
chr22	6805513	6805690	augCGP-14731.t1	27	44	142	13	40	ENSG00000276950.5	GSTT4
chr22	6808051	6808202	augCGP-14731.t1	30	41	95	8	11	ENSG00000276950.5	GSTT4
chr22	6810397	6810485	augCGP-14731.t1	19	26	44	7	40	ENSG00000276950.5	GSTT4
chr2q	103186653	103186765	augPB-14886.t1	1	4	0	0	0	ENSG00000197756.10	RPL37A
chr3	47171650	47171776	augPB-7081.t2	0	6	0	0	0	ENSG00000160799.11	CCDC12
chr3	183320771	183320889	augPB-7652.t1	0	3	0	0	0	ENSG00000113790.11	EHHADH
chr4	107992377	107992496	augPB-1992.t1	0	13	0	0	0	ENSG00000138792.10	ENPEP
chr4	126217529	126217601	augPB-2044.t3	0	11	0	0	3	ENSG00000077684.16	JADE1
chr5	126470473	126470526	augPB-1414.t2	0	3	0	0	0	ENSG00000247199.5	AC011346.1
chr6	29450985	29451033	augPB-10415.t1	0	73	68	0	1111	ENSG00000206341.7	HLA-H
chr7	60015341	60015465	augPB-4002.t1	0	13	8	15	2	ENSG00000286456.1	AC016769.5
chr7	61805845	61805952	augPB-4019.t3	0	12	0	0	0	ENSG00000229180.7	AC006001.3
chr7	123027987	123028016	augPB-4310.t1	0	3	0	0	0	ENSG00000197462.3	AC003975.1
chr8	17738510	17738699	augPB-13042.t1	1	7	7	0	69	ENSG00000078674.17	PCM1
chr8	94021479	94021612	augPB-13338.t1	0	3	11	0	0	ENSG00000156466.10	GDF6
chr9	39241	39371	augPB-11842.t1	0	68	0	0	0	ENSG00000183784.7	DOCK8-AS1
chr9	40497	40563	augPB-11842.t1	0	86	0	0	0	ENSG00000183784.7	DOCK8-AS1
chr9	40666	40735	augPB-11842.t1	0	87	0	0	0	ENSG00000183784.7	DOCK8-AS1
chr9	69777224	69777274	augPB-12124.t2	0	3	6	0	0	ENSG00000136925.15	TSTD2
chrX	125342439	125342491	augPB-14360.t1	2	5	1	0	1	ENSG00000056277.16	ZNF280C
